brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14.1,1,No,Yes,44990,58990,23,0.0,0,0
Lenovo,IdeaPad,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,2,No,Yes,42990,63790,32,4.4,984,99
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,45930,58229,21,0.0,0,0
HP,Pavilion,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,55490,65853,15,4.3,143,15
ASUS,VivoBook,Intel,Core i3,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,14.1,1,No,No,32890,46990,30,3.9,28,4
Lenovo,IdeaPad,Intel,Core i3,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,35990,57290,37,4.0,2124,233
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,42490,50693,16,4.0,276,40
DELL,Vostro,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,42190,44780,5,3.9,250,21
DELL,Vostro,Intel,Core i3,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,39490,54517,27,4.0,1917,189
HP,15s,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,43690,48933,10,4.1,4999,490
ASUS,VivoBook,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,35990,48990,26,3.8,17,0
DELL,3000,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,43800,55506,21,4.2,17,0
ASUS,VivoBook,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,34990,40990,14,3.7,4203,490
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,38900,51990,25,3.9,13,0
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14.96,1,No,Yes,37990,51493,26,3.7,265,46
HP,DA,Intel,Core i3,7th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,2,Casual,15.6,0,No,No,49279,0,0,4.5,38,3
DELL,Insprion,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,41480,48990,15,3.8,25,4
ASUS,VivoBook,Intel,Core i3,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,32990,43990,25,2.0,12,0
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,38680,51990,25,3.2,17,1
ASUS,VivoBook,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14.1,0,No,No,33990,39990,15,3.4,31,6
DELL,Vostro,Intel,Core i3,10th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,41490,54782,24,5.0,7,5
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,45490,60371,24,4.3,207,16
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,44490,57479,22,4.3,844,103
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,14.1,1,No,Yes,41890,57990,27,4.2,53,6
DELL,Vostro,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,42990,43126,0,4.1,62,7
acer,Travelmate,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,14,0,No,No,40990,60000,31,4.2,38,2
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,48990,59990,18,4.1,724,92
Smartron,t.book,Intel,Core i5,7th,4 GB GB,DDR3,128 GB,0 GB,Windows,64-bit,0,Casual,12.2,0,Yes,No,52990,55999,5,3.9,28,4
HP,Pavilion,Intel,Core i5,8th,8 GB GB,DDR4,128 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,1,No,No,76012,0,0,4.3,129,16
Lenovo,Ideapad,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,2,No,Yes,49490,75390,34,4.3,365,35
acer,Swift,Intel,Core i5,8th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,1,No,No,59490,65546,9,3.5,33,7
ASUS,VivoBook14,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14.1,1,No,No,49800,66990,25,0.0,0,0
Lenovo,Ideapad,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,Yes,61999,68999,10,2.8,4,0
Lenovo,Ideapad,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,2,No,Yes,52990,74390,28,4.2,300,24
HP,Pavilion,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,67990,78294,13,4.5,108,6
ASUS,TUF,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,1,No,No,57990,81990,29,4.5,3712,412
Lenovo,Ideapad,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,62300,101390,38,4.4,825,95
